Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,2731,1075,1568,81,7,0,0.09,9
ALBANIA,1381,150,909,9,313,0,0.48,24
ALGERIA,36669,198,14170,17863,2516,1922,0.96,687
ANDORRA,130,0,130,0,0,0,1.71,0
ANGOLA,8895,0,4738,209,272,3675,0.38,374
ANGUILLA,37,0,37,0,0,0,2.58,0
ANTIGUA & BARBUDA,143,0,143,0,0,0,1.59,42
ARGENTINA,51773,649,24226,24771,1617,510,1.22,2253
ARMENIA,1499,1,232,1207,59,0,0.5,39
ARUBA,235,0,235,0,0,0,2.29,80
AUSTRALIA,101518,47663,33655,18902,1142,155,4.36,3445
AUSTRIA,17040,3402,8632,4410,596,0,2.01,555
AZERBAIJAN,9720,3,3293,5436,312,675,1.02,393
BAHAMAS,764,1,763,0,0,0,2.02,167
BAHRAIN,8539,0,1211,7145,184,0,6.33,344
BANGLADESH,19010,1023,3866,11839,2282,0,0.12,352
BARBADOS,395,0,360,12,22,1,1.4,109
BELARUS,17390,858,5170,10675,688,0,1.83,86
BELGIUM,26444,3291,13330,8991,832,0,2.37,6542
BELIZE,140,0,138,2,0,0,0.41,12
BENIN,1585,0,1392,0,193,0,0.15,146
BERMUDA,125,0,125,0,0,0,1.99,18
BHUTAN,251,53,120,0,78,0,0.33,3
"BONAIRE, SAINT EUSTATIUS, AND SABA",88,0,88,0,0,0,3.71,190
BOSNIA & HERZEGOVINA,5978,4663,1093,102,120,0,1.56,3
BOTSWANA,1426,589,787,0,50,0,0.66,11
BRAZIL,137354,18773,88898,19399,9517,767,0.67,4895
BRITISH VIRGIN ISLANDS,48,0,48,0,0,0,1.64,0
BRUNEI (DARUSSALAM),2128,0,452,1535,46,95,5.17,139
BULGARIA,10799,6326,2729,1498,246,0,1.49,210
BURKINA FASO,834,0,755,0,79,0,0.05,47
BURUNDI,79,6,59,0,14,0,0.01,3
CAMBODIA,1528,49,1335,0,144,0,0.1,54
CANADA,141031,18778,65850,53841,1579,983,4,1048
CAPE VERDE,136,0,136,0,0,0,0.27,86
CAYMAN ISLANDS,146,0,146,0,0,0,2.5,9
CENTRAL AFRICAN REPUBLIC,81,0,81,0,0,0,0.02,28
CHAD,191,0,167,0,24,0,0.01,15
CHILE,22696,6931,12531,2536,664,33,1.29,689
CHINA (MAINLAND),2797384,2045156,336960,87371,327896,0,2.05,12057
COLOMBIA,24441,3581,11564,6306,1530,1459,0.52,1547
COMOROS,48,0,48,0,0,0,0.06,3
